Genotype,response.kmeans,response_dis.kmeans,cluster.kmeans,Mock_30C-22C.kmeans,Mock_30C-28C.kmeans,Pathogen_30C-22C.kmeans,Pathogen_30C-28C.kmeans,response.hc,response_dis.hc,cluster.hc,Mock_30C-22C.hc,Mock_30C-28C.hc,Pathogen_30C-22C.hc,Pathogen_30C-28C.hc
310111,Temperature dependent,Disease severity (>50%),1,2.17,63.19166666666666,91.27158109589774,95.1018480857609,Temperature dependent,Disease severity (>50%),2,2.17,63.19166666666666,95.44253839968346,97.51294601094557
311078,Temperature dependent,Disease severity (>50%),1,3.4894977782240693,55.18382780010687,49.7335715172179,99.30555555555556,Temperature dependent,Disease severity (>50%),2,2.7529928988854433,55.18382780010687,36.982022203639204,88.1134225813241
311677,Temperature dependent,Disease severity (>50%),1,12.37026552956565,41.294279281831834,68.6190871654438,70.8794043710123,Temperature dependent,Disease severity (>50%),2,12.37026552956565,45.70456644367493,64.5040452625115,67.11457042451579
310219,Temperature dependent,Disease severity (<50%),2,6.563794590385877,18.915617852997325,56.07676763215341,65.93674605291977,Temperature independent,Disease severity (<50%),1,12.739706221691602,18.915617852997325,49.990603788156314,62.76436960234777
310301,Temperature dependent,Disease severity (<50%),2,4.959850528692444,14.36194229834269,90.13625179942652,95.69373715715179,Temperature independent,Disease severity (>50%),3,4.959850528692444,13.70306314741349,90.36390334334058,92.86771230453812
310354,Temperature dependent,Disease severity (<50%),2,3.9724665328939466,4.41640330786697,57.2639969190412,31.792743590604815,Temperature dependent,Disease severity (<50%),4,4.243452075931326,4.41640330786697,75.27696288022726,28.367890936469397
310645,Temperature dependent,Disease severity (<50%),2,7.788412896092966,5.219974261435343,66.79599669257045,18.797114736177626,Temperature dependent,Disease severity (<50%),4,7.788412896092966,5.219974261435343,68.14012381708584,29.072889666716158
310747,Temperature dependent,Disease severity (<50%),2,9.876596085766842,3.5748921551205206,64.17873083704767,60.49264497442379,Temperature dependent,Disease severity (<50%),4,6.7257441204436805,3.5748921551205206,67.47515343226733,55.12945724705874
310998,Temperature dependent,Disease severity (<50%),2,8.29387933587825,11.4282913928834,73.35598842787884,45.229391157150744,Temperature dependent,Disease severity (<50%),4,8.29387933587825,11.4282913928834,78.72729842277406,42.91322301743439
311600,Temperature dependent,Disease severity (<50%),2,15.34867593268089,11.066335550717982,52.62806640486791,36.31581218385963,Temperature independent,Disease severity (<50%),1,15.34867593268089,11.066335550717982,66.81813641214406,43.88808723217255
311642,Temperature dependent,Disease severity (<50%),2,2.967536734295485,3.9610576578197954,78.78229317274395,50.21694081592269,Temperature dependent,Disease severity (<50%),4,2.967536734295485,3.9610576578197954,66.2334372527312,57.01816779243065
311735,Temperature dependent,Disease severity (<50%),2,9.601114143516856,13.232224156565351,98.39449541284404,40.00939305967769,Temperature dependent,Disease severity (<50%),4,5.458451808600533,13.232224156565351,86.26606138416909,49.277822225264174
311383,Temperature independent,Disease severity (>50%),3,19.93694103586867,8.062515588099444,87.26605217929198,79.16193004876642,Temperature independent,Disease severity (>50%),3,19.93694103586867,8.062515588099444,91.3803570450655,82.59136846773453
311795,Temperature independent,Disease severity (>50%),3,28.101615128666616,32.611823708665305,61.61890508439678,87.69000100613455,Temperature independent,Disease severity (>50%),3,28.101615128666616,32.611823708665305,59.52603843354312,74.40808075149727
301161,Temperature independent,Disease severity (<50%),4,12.605503060547845,22.912969355259207,23.926735594818297,41.26231223689081,Temperature independent,Disease severity (<50%),1,17.759236207903527,22.912969355259207,24.293584863447574,39.024285169711774
310131,Temperature independent,Disease severity (<50%),4,3.0073566800622533,3.817884483263506,43.07445274143855,38.53003976314631,Temperature independent,Disease severity (<50%),1,3.0073566800622533,4.097183897688753,37.81233507149764,37.01544783575236
310802,Temperature independent,Disease severity (<50%),4,10.607829130081715,9.18566522487885,35.452729269432005,31.04425454378904,Temperature independent,Disease severity (<50%),1,10.607829130081715,9.18566522487885,43.86360007570927,25.40045731871366
311151,Temperature independent,Disease severity (<50%),4,3.943224350139056,3.912198511362233,41.724226245811515,58.64913961445739,Temperature independent,Disease severity (<50%),1,3.943224350139056,3.912198511362233,38.961773413487556,44.83546097850817
311206,Temperature independent,Disease severity (<50%),4,1.7574050896954527,5.397225424493689,44.56138577488851,15.451718649636085,Temperature independent,Disease severity (<50%),1,1.7574050896954527,5.397225424493689,44.13626821040809,26.908883044126696
311385,Temperature independent,Disease severity (<50%),4,1.6323747522535506,5.4765737013552265,23.53724339728771,48.39385193858857,Temperature independent,Disease severity (<50%),1,1.6323747522535506,5.4765737013552265,28.030033086891454,53.052776847993755
